year,state,percapitaspend
2007,AL,5032
2007,CA,3366
2007,IA,3238
2007,KY,4299
2007,VT,3594
2007,WA,3890
2008,AL,7840
2008,CA,5883
2008,IA,5485
2008,KY,6851
2008,VT,6905
2008,WA,6322
2009,AL,7327
2009,CA,5477
2009,IA,5892
2009,KY,6337
2009,VT,7331
2009,WA,5716
2010,AL,9747
2010,CA,7028
2010,IA,6303
2010,KY,7110
2010,VT,7138
2010,WA,7423
2011,AL,9240
2011,CA,6835
2011,IA,6495
2011,KY,7386
2011,VT,7841
2011,WA,7631
2012,AL,9073
2012,CA,6945
2012,IA,4356
2012,KY,6896
2012,VT,7927
2012,WA,7360
2013,AL,7390
2013,CA,5548
2013,IA,5882
2013,KY,7576
2013,VT,7033
2013,WA,6492
2014,AL,12319
2014,CA,6531
2014,IA,6459
2014,KY,17121
2014,VT,7596
2014,WA,7157
2015,AL,13226
2015,CA,7339
2015,IA,7086
2015,KY,19706
2015,VT,8245
2015,WA,6859
2016,AL,13855
2016,CA,7939
2016,IA,7464
2016,KY,20095
2016,VT,10707
2016,WA,7889
2017,AL,11794
2017,CA,7909
2017,IA,7443
2017,KY,20095
2017,VT,8993
2017,WA,8204
2018,AL,10768
2018,CA,8097
2018,IA,7869
2018,KY,22920
2018,VT,9141
2018,WA,8790
